M is representing peak till the message
Malloc-M represents malloc memory at the message
Available-M represents available memory in the system
STATS:: before PropertyLoad: Formal Property : M=1688.01mb, Malloc-M=472mb, Available-M=114480mb, T=0s CPU=0s W=(2026-04-30 04:00:28)
STATS:: after  PropertyLoad: Formal Property : M=1688.01mb, Malloc-M=472mb, Available-M=114480mb, T=0s CPU=0s W=(2026-04-30 04:00:28)
STATS:: before set_abstractions: InvokedInAutoMode : M=1688.01mb, Malloc-M=472mb, Available-M=114480mb, T=0s CPU=0s W=(2026-04-30 04:00:28)
STATS:: after  set_abstractions: InvokedInAutoMode : M=1688.01mb, Malloc-M=472mb, Available-M=114480mb, T=0s CPU=0s W=(2026-04-30 04:00:28)
STATS:: before StaticCheck: StaticCheckProcess : M=1688.01mb, Malloc-M=472mb, Available-M=114480mb, T=0s CPU=0s W=(2026-04-30 04:00:28)
STATS:: |   before StaticCheck: NldfgFlatDesign : M=1688.13mb, Malloc-M=472mb, Available-M=114480mb, T=0s CPU=0s W=(2026-04-30 04:00:28)
STATS:: |   |   before StaticCheck: createFlatDesign : M=1688.13mb, Malloc-M=472mb, Available-M=114480mb, T=0s CPU=0s W=(2026-04-30 04:00:28)
STATS:: |   |   after  StaticCheck: createFlatDesign : M=1697.16mb, Malloc-M=482mb, Available-M=114471mb, T=1s CPU=0s W=(2026-04-30 04:00:29)
STATS:: |   |   before StaticCheck: legalize : M=1697.16mb, Malloc-M=482mb, Available-M=114471mb, T=0s CPU=0s W=(2026-04-30 04:00:29)
STATS:: |   |   after  StaticCheck: legalize : M=1697.16mb, Malloc-M=482mb, Available-M=114471mb, T=0s CPU=0s W=(2026-04-30 04:00:29)
STATS:: |   |   before StaticCheck: computeNetEquivalences : M=1697.16mb, Malloc-M=482mb, Available-M=114471mb, T=0s CPU=0s W=(2026-04-30 04:00:29)
STATS:: |   |   after  StaticCheck: computeNetEquivalences : M=1697.16mb, Malloc-M=482mb, Available-M=114471mb, T=0s CPU=0s W=(2026-04-30 04:00:29)
STATS:: |   |   before StaticCheck: eliminateBidirectionals : M=1697.16mb, Malloc-M=482mb, Available-M=114471mb, T=0s CPU=0s W=(2026-04-30 04:00:29)
STATS:: |   |   after  StaticCheck: eliminateBidirectionals : M=1697.16mb, Malloc-M=482mb, Available-M=114471mb, T=0s CPU=0s W=(2026-04-30 04:00:29)
STATS:: |   after  StaticCheck: NldfgFlatDesign : M=1697.16mb, Malloc-M=482mb, Available-M=114471mb, T=1s CPU=0s W=(2026-04-30 04:00:29)
STATS:: |   before StaticCheck: CombLoopCheck  : M=1697.16mb, Malloc-M=482mb, Available-M=114471mb, T=0s CPU=0s W=(2026-04-30 04:00:29)
STATS:: |   after  StaticCheck: CombLoopCheck  : M=1697.16mb, Malloc-M=482mb, Available-M=114471mb, T=0s CPU=0s W=(2026-04-30 04:00:29)
STATS:: |   before StaticCheck: MultiDriverCheck  : M=1697.16mb, Malloc-M=482mb, Available-M=114471mb, T=0s CPU=0s W=(2026-04-30 04:00:29)
STATS:: |   after  StaticCheck: MultiDriverCheck  : M=1697.16mb, Malloc-M=482mb, Available-M=114471mb, T=0s CPU=0s W=(2026-04-30 04:00:29)
STATS:: after  StaticCheck: StaticCheckProcess : M=1697.16mb, Malloc-M=472mb, Available-M=114471mb, T=1s CPU=0s W=(2026-04-30 04:00:29)
STATS:: before populate SSF data: M=1697.16mb, Malloc-M=472mb, Available-M=114470mb, T=0s CPU=0s W=(2026-04-30 04:00:29)
STATS:: after  populate SSF data: M=1697.16mb, Malloc-M=472mb, Available-M=114470mb, T=0s CPU=0s W=(2026-04-30 04:00:29)
STATS:: before DumpGateCountStats : M=1697.16mb, Malloc-M=472mb, Available-M=114470mb, T=0s CPU=0s W=(2026-04-30 04:00:29)
STATS:: after  DumpGateCountStats : M=1697.16mb, Malloc-M=472mb, Available-M=114470mb, T=0s CPU=0s W=(2026-04-30 04:00:29)
STATS:: before ModuleDesignPropagation : M=1697.16mb, Malloc-M=482mb, Available-M=114470mb, T=0s CPU=0s W=(2026-04-30 04:00:29)
STATS:: after  ModuleDesignPropagation : M=1697.16mb, Malloc-M=482mb, Available-M=114470mb, T=0s CPU=0s W=(2026-04-30 04:00:29)
STATS:: before map_by_name:  : M=1697.3mb, Malloc-M=482mb, Available-M=114470mb, T=0s CPU=0s W=(2026-04-30 04:00:29)
STATS:: |   before map_by_name: primary input/output : M=1715.34mb, Malloc-M=482mb, Available-M=114453mb, T=0s CPU=0s W=(2026-04-30 04:00:29)
STATS:: |   after  map_by_name: primary input/output : M=1715.34mb, Malloc-M=482mb, Available-M=114452mb, T=0s CPU=0s W=(2026-04-30 04:00:29)
STATS:: |   before map_by_name: undriven : M=1715.34mb, Malloc-M=482mb, Available-M=114452mb, T=0s CPU=0s W=(2026-04-30 04:00:29)
STATS:: |   after  map_by_name: undriven : M=1715.34mb, Malloc-M=482mb, Available-M=114452mb, T=0s CPU=0s W=(2026-04-30 04:00:29)
STATS:: |   before map_by_name: blackbox : M=1715.34mb, Malloc-M=482mb, Available-M=114452mb, T=0s CPU=0s W=(2026-04-30 04:00:29)
STATS:: |   after  map_by_name: blackbox : M=1715.34mb, Malloc-M=482mb, Available-M=114452mb, T=0s CPU=0.01s W=(2026-04-30 04:00:29)
STATS:: |   before map_by_name: CMA : M=1715.34mb, Malloc-M=482mb, Available-M=114452mb, T=0s CPU=0s W=(2026-04-30 04:00:29)
STATS:: |   after  map_by_name: CMA : M=1715.34mb, Malloc-M=482mb, Available-M=114452mb, T=0s CPU=0s W=(2026-04-30 04:00:29)
STATS:: |   before map_by_name: abstraction : M=1715.34mb, Malloc-M=482mb, Available-M=114452mb, T=0s CPU=0s W=(2026-04-30 04:00:29)
STATS:: |   after  map_by_name: abstraction : M=1715.34mb, Malloc-M=482mb, Available-M=114452mb, T=0s CPU=0s W=(2026-04-30 04:00:29)
STATS:: after  map_by_name:  : M=1715.34mb, Malloc-M=482mb, Available-M=114452mb, T=0s CPU=0.04s W=(2026-04-30 04:00:29)
STATS:: before sim build substep: M=1715.34mb, Malloc-M=482mb, Available-M=114452mb, T=0s CPU=0s W=(2026-04-30 04:00:29)
STATS:: |   before Check: ConstraintsProcess : M=1715.34mb, Malloc-M=482mb, Available-M=114452mb, T=0s CPU=0s W=(2026-04-30 04:00:29)
STATS:: |   |   before Check: PrepareConstraints : M=1715.34mb, Malloc-M=482mb, Available-M=114452mb, T=0s CPU=0s W=(2026-04-30 04:00:29)
STATS:: |   |   after  Check: PrepareConstraints : M=1715.34mb, Malloc-M=482mb, Available-M=114452mb, T=0s CPU=0s W=(2026-04-30 04:00:29)
STATS:: |   |   before Check: CompileConstraints : M=1715.34mb, Malloc-M=482mb, Available-M=114452mb, T=0s CPU=0s W=(2026-04-30 04:00:29)
STATS:: |   |   after  Check: CompileConstraints : M=1715.34mb, Malloc-M=483mb, Available-M=114452mb, T=0s CPU=0s W=(2026-04-30 04:00:29)
